Name,Scopus_ID,Scopus_name
JOSE VICTOR RIOS-RULL,6602989968,"Ríos-Rull, José V́ictor"
JOSH RAUH,12786115500,"Rauh, Joshua D."
JUAN ANGEL GARCIA,55684863000,"García, Juan Angel"
JUAN F. RUBIO-RAMIREZ,8148112200,"Rubio-Ramírez, Juan Francisco"
JULIAN DI GIOVANNI,21833782600,"Caggese, Andrea"
KAREN WRUCK,6602334490,"Wruck, Karen Hopper"
KEVIN J. MURPHY,57192124908,"Murphy, Kevin J."
KEVIN LANSING,6603312240,"Lansing, Kevin J."
KI-YOUNG PARK,56164656000,"Park, Ki-young"
KOSUKE AOKI,7403644803,"Aoki, Kosuke"
KRISTOPHER GERARDI,57191402445,"Hotchkiss, Edith Shwalb"
LAURENCE BALL,7801486298,"Peydró, José Luis"
LAWRENCE CHRISTIANO,55947063400,"Lindé, Jesper"
LEE OHANIAN,36601492600,"Sun, Zheng"
LEI FENG,7401761829,"Feng, Lei"
LEO FELER,36660763500,"Feler, Leo"
LEVON BARSEGHYAN,14007967700,"Barseghyan, Levon"
LINDA GOLDBERG,7402446305,"Goldberg, Linda S."
LU HAN,23978049200,"Han, Lu"
LUCA ANTONIO RICCI,55106437600,"Ricci, Luca Antonio"
LUCA BENATI,6701615092,"Vishny, Robert W."
LUCA DEDOLA,7006813599,"Calvo, Guillermo A."
LUCA GUERRIERI,55515684500,"Guerrieri, Luca"
LUCA SALA,7102740393,"Swanson, Norman Rasmus"
LUCIAN ARYE BEBCHUK,7004231503,"Bebchuk, Lucian A."
LUCIAN BEBCHUK,7004231503,"Bebchuk, Lucian A."
LUCREZIA REICHLIN,6602572709,"Reichlin, Lucrezia"
LUIGI GUISO,26026372600,"Ouimet, Paige Parker"
LUIS MEJIA,57194133849,"Mejía, Luis Fernando"
LUISA LAMBERTINI,7006581715,"Lambertini, Luisa"
M. FATIH GUVENEN,17433808700,"Guvenen, Fatih"
MAKOTO SAITO,57191273530,"Saito, Makoto"
MANUEL AMADOR,35291427000,"Amador, Manuel"
MARCELO OVIEDO,55245909000,"Oviedo, P. Marcelo"
MARCO BONOMO,6603901324,"Bonomo, Marco Antonio"
MARIA GIDUSKOVA,,
MARIOS ANGELETOS,8613482700,"Mavroeidis, Sophocles"
MARK AGUIAR,23392047000,"Aguiar, Mark"
MARK BERGEN,55180991900,"Levy, Daniel"
MARK CAREY,23024301500,"Carey, Mark"
MARK SEASHOLES,6506080533,"Seasholes, Mark S."
MARK WATSON,6701579737,"Corsetti, Giancarlo"
MARK WEDER,7403358368,"Ng, Serena"
MARK WRIGHT,35219923500,"He, Zhiguo"
MARK ZBARACKI,7402667213,"Dutta, Shantanu"
MARTIN BODENSTEIN,8846907100,"Bodenstein, Martin R."
MARTIN EICHENBAUM,7005881414,"Gertler, Mark L."
MARTIN EVANS,35585929500,"Evans, Martin D.D."
MARTIN SCHNEIDER,57202768608,"Schneider, Martin"
MARTIN URIBE,19336384800,"Uribe, Martín N."
MASSIMILIANO MARCELLINO,6506965204,"Ejarque, João Miguel"
MASSIMO ROSTAGNO,6601978167,"Rostagno, Massimo"
MATTEO CICCARELLI,6506641986,"Piazzesi, Monika"
MATTEO IACOVIELLO,6603668801,"Iacoviello, Matteo"
MATTHIAS KAHL,7003509838,"Kahl, Matthias"
MAX FLOETOTTO,25630412300,"Floetotto, Max"
MICHAEL BRANDT,7202973322,"Brandt, Michael W."
MICHAEL DOTSEY,6507108851,"Dotsey, Michael"
MICHAEL GORDY,6507475197,"Gordy, Michael B."
MICHAEL GREENSTONE,7005579308,"Greenstone, Michael"
MICHAEL HANSON,7401973534,"Hanson, Michael S."
MICHAEL JOHANNES,55105479200,"Seeger, Norman"
MICHAEL KLEIN,15731445100,"Klein, Michael W."
